Datetime,Water Level (m)
2024-04-05 06:00:00,0.030020192
2024-04-05 07:00:00,0.19039008
2024-04-05 08:00:00,0.282041
2024-04-05 09:00:00,0.30222332
2024-04-05 10:00:00,0.24133231
2024-04-05 11:00:00,0.12789424
2024-04-05 12:00:00,0.0073258467
2024-04-05 13:00:00,-0.12040735
2024-04-05 14:00:00,-0.24736743
2024-04-05 15:00:00,-0.3238939
2024-04-05 16:00:00,-0.27139306
2024-04-05 17:00:00,-0.10582408
2024-04-05 18:00:00,0.11199752
2024-04-05 19:00:00,0.3194841
2024-04-05 20:00:00,0.4704626
2024-04-05 21:00:00,0.53116816
2024-04-05 22:00:00,0.49247763
2024-04-05 23:00:00,0.38114443
2024-04-06 00:00:00,0.24306147
2024-04-06 01:00:00,0.08602066
2024-04-06 02:00:00,-0.0729456
2024-04-06 03:00:00,-0.22327882
2024-04-06 04:00:00,-0.29874024
2024-04-06 05:00:00,-0.2463938
2024-04-06 06:00:00,-0.0950755
2024-04-06 07:00:00,0.11409841
2024-04-06 08:00:00,0.3028845
2024-04-06 09:00:00,0.41379607
2024-04-06 10:00:00,0.43438953
2024-04-06 11:00:00,0.3713383
2024-04-06 12:00:00,0.25255463
2024-04-06 13:00:00,0.11004188
2024-04-06 14:00:00,-0.03599459
2024-04-06 15:00:00,-0.1890967
2024-04-06 16:00:00,-0.2783251
2024-04-06 17:00:00,-0.2195815
2024-04-06 18:00:00,-0.0414964
2024-04-06 19:00:00,0.2005033
2024-04-06 20:00:00,0.4252568
2024-04-06 21:00:00,0.5794209
2024-04-06 22:00:00,0.61977494
2024-04-06 23:00:00,0.5598185
2024-04-07 00:00:00,0.43316513
2024-04-07 01:00:00,0.28150395
2024-04-07 02:00:00,0.116217785
2024-04-07 03:00:00,-0.05474346
2024-04-07 04:00:00,-0.21118288
2024-04-07 05:00:00,-0.2621422
2024-04-07 06:00:00,-0.17888919
2024-04-07 07:00:00,0.024584673
2024-04-07 08:00:00,0.2752047
2024-04-07 09:00:00,0.46773362
2024-04-07 10:00:00,0.56173915
2024-04-07 11:00:00,0.5541905
2024-04-07 12:00:00,0.45602357
2024-04-07 13:00:00,0.31756362
2024-04-07 14:00:00,0.15898003
2024-04-07 15:00:00,-0.008835063
2024-04-07 16:00:00,-0.17154372
2024-04-07 17:00:00,-0.24698558
2024-04-07 18:00:00,-0.1724802
